ride_review,ride_rating,sentiment
"I had just completed running the New York Marathon and had requested an Uber Pool ride back to my hotel. First, let me tell you what started out right: The driver agreed to the pick up and drop off locations via the app. I then called and spoke with the driver to let him know that the pick up location was actually blocked off due to the marathon, and we agreed on another pickup location 1 block away before the race road block. Before I was picked up, I got a notification that another rider would be joining for part of my ride. I was picked up by the driver at the spoken agreed upon location; shortly the 2nd passenger was picked up and dropped off. Now here is where it all went wrong: Moments after continuing to my destination, I got a notification via the app on my phone that my ride had ended.I asked my driver what was going and he claimed, ""Gee I don't, I have another passenger to pick up now and your ride is over so you need to get out now"". Still confused, I asked him again how my could be over when we were still far from my agreed upon destination? This time he clearly played dumb, saying over and over again that he doesn't understand how is Uber app works, and I had to get out. In the middle of the street, by myself, in a strange location that was not even anywhere on my route.Not wanting to argue, as it was clear that he had a new ride request for another that would clearly be more lucrative for him, and myself not wanting to continue the ride with this jerk, I peacefully exited the car where I stood in front of a private residence mid-town, shivering cold in the 50 degree, rainy weather, in the dark, having just completed running the 26.2 mile marathon and wanting nothing more than a safe ride back to the hotel to seek much needed rest, warmth and safety. No sooner than I exited the car, the driver was already scrawling his new fare's name of a piece of paper and standing outside his car, in the street, to meet his new fare, not once even having inkling of conscientiousness for what he had just done to me. And the driver still had the nerve to charge me $10 partial fare!!Not excited to be using the Uber app again, but not on a street where any taxis were coming by and not having another other apps installed (such as Lyft), I requested a new ride. I was connected shortly with another driver that was 10 minutes away. 10 minutes is not an very long amount of time, if you are warm and safe, but again, dressed in running clothes, weary, and expecting to be a in safe warm car, I was stranded on the street to pace, alone, to wait for this driver. Also, this being not on a main street, and traffic very heavy due to the marathon rode closures, the 10 minute wait for him to be able to get to me was realistic. To my eternal happiness, he arrived within 5 minutes, and delivered me safely and nicely to my hotel.The next day, finding the only way to file a complaint to Uber was via the app. I sent my complaint and within a couple hours was replied to with a wet blanket apology for the ""inconvenience"" and offered me a $5 credit of the $10 I was charged. To make this even worse, Uber credited the $5 towards another driver, one we had taken the day before!! I wrote back to have this corrected, to not harm the previous day's good driver's reputation or take from his well earned pay, and to preserve my good relationships with all the other good Uber drivers I have rode with.Uber than wrote back with a full credit of my $10 (better, but certainly not enough to make up for the dangerous situation this driver put me in), and no mention of any discipline for this driver. I told Uber I would never use them again and would use Lyft from now on. Although all my many, many Uber experiences over the past few years that I have had have been 5-star, this one bad apple ruined Uber forever with me.",1.0,0
"My appointment time for auto repairs required a drop-off early am for it to be there and available for a mechanic to begin the work. The Uber app was easily installed on my mobile device and was followed with the required information being filled onto the blanks. When typing a phone number, it gave an order to check SMS texts for a confirmation code to be used along with the number. No text sent with first try at 7:30 am. More tries, no texts and had to give up. Four hours later the texts with codes were sent at 11:08 am. Two attempts were unsuccessful at emailing Uber headquarters in San Francisco that included a few lively suggestions. As follows; I suggest someone there unclog your ride summoning impacted website rectum by swallowing an online laxative, followed by a readily available Fleets enema from a pharmacy.I now must wait 1 1/2 weeks to have repairs done from being a no-show at the shop. That means safety concerns to drive as is. When using Uber once 9 months past, things went far better and a problem cleared up pronto by an apologetic and most courteous driver. What a letdown on this go round. If the world's greatest ability is dependability, why then are public service companies not aware of and learning such an important aspect of the business world? This incident is a second of its kind with the same problem and still no fix. Then, unlike now, I had made contact with their home base, only to be treated rudely and with great disrespect. Perhaps a reply is better not forthcoming after all. I at least have a choice of 4 codes and might need one to request service 12 hours ahead of when it is needed. Uber folks, you had oughta uncrimp the do-do contained in the app from the Google store.",1.0,0
"Whether I am using Uber for a ride service or Uber Eats ordering food the service has been terrible. Out of the 10 times ordering food from Uber Eats 9 times food has been forgotten. Every time I have requested a refund for the missing item until recently they told me to refrain from this type of behaviour and told me they would be restricting my account. Not sure why I should be punished for their drivers not checking the food prior to delivery. Recently while traveling I ordered an Uber to the place I was staying, I notified the driver it was a tricky place to find and even provided extremely specific instructions. I attempted to contact the driver numerous times but had no response. The driver cancelled the trip and I was charged a cancellation fee. I guess moral of the story is this company makes the consumer pay for their employees mistakes. Please refrain from using this service if possible, I know I'll be finding alternatives.",1.0,0
"Why is it so hard for you to understand that if I am trying to retrieve Uber cab, with the same email just a different phone number that it is me? If you say it is for security and you don’t recognize the phone number, then your security system is **. Because therefore if it was any good, your security system would link my original number to my new number which is under the same account and recognize that it is me. So stop rejecting my new number. What do you think I want everyone calling me on my private or personal number. Do not respond to this until you have fixed your problems. Or IT will only tell ""you people"" TO SHUT THE ** UP. And now I just tried to send this and you would not let me go pass 2. Why would I put any amount of stars when you serviced me zero amount of stars.",1.0,0
"I was in South Beach, FL. I was staying at a major hotel and ordered an Uber. The driver could not find me which was ridiculous. I was waiting out front of the hotel which was located on the main drag of SOBE. He hung up on me and charged me $5. I disputed the charge so now I have a credit on my account. Uber isn't available where I live. The last time I ordered a car in South Beach the driver hardly spoke English and couldn't find TJ MAXX. My advice... don't use Uber in Florida.",1.0,0
I had damage to my vehicle due to a Uber driver my upstairs neighbor used. The trim from the rear wheel well was broke off. The driver didn't leave a note. He kept calling my neighbor. Now he will not answer his phone. Can't get a number for Uber to locate the driver.,1.0,0
"I use Uber fairly frequently. Overall it has been a good service. I’ve had amazing drivers. You cannot call them. Only go through some steps to send them messages. I want to just call them if I have an issue. It’s so frustrating. However, two things have happened in a short time that will make me be very wary in using Uber in the future. Might just go back to taking cabs.The first didn’t leave us feeling good about Uber but we let it go. My brother called an Uber to pick us up from the beach. The Uber driver arrived with an Uber and Lyft sign in his window. We didn’t get a good feeling about him from the outset. He dropped us off at our home as arranged. He accepted a cash tip (this was before you could tip on the Uber App.) Later Uber retroactively charged my brothers card for $50.00 because the driver reported we had gotten sand on his floor mats. He picked us up at the beach... My brother contacted Uber and said that even though it was ridiculous in the first place, the $50.00 charge was not in line with their own criteria on their website. They refused to refund anything. Period.Now today, I see an email from Uber in my inbox. ""You rode with Dario 4.17 miles. Trip Time 00:12:04 Car UberX,"" with the following message: ""Adjustment Care due to different drop off locations. Ricardo (whoever that is), Previous charge: $25.35. Charged Personal **: $233.58. New Total: $258.93."" Plus I thought the driver was good and am a generous tipper in general so I also gave him a $10 tip through Uber.That is the most expensive 4 mile ride I have and will ever have taken. You can’t speak to a human and I get no email confirmation that my dispute has even been received. I have heard zero back. This is beyond horrifying. After now writing this I’m even more upset...",2.0,0
"Last night I returned home from the airport using Uber. Shared a ride. The other person paid $36.97 vs my $58.42. First stop was their residence (farther away from the airport than my place). Needless to say, I was not happy when I heard that my fare was 58 percent more. Uber says it's ""dynamic pricing"" and will not issue me a partial refund. And... with the company burning through its cash at over $1 billion a year and turmoil in the executive ranks, one would think the company might be more sensitive to such inequalities.The algorithms used by Uber are suspect. I live in a City that has contracted with Uber to provide local transportation free of charge...using a City vehicle. It took me 40 minutes to arrive at a destination that normally takes 5 minutes...picking up people along the way/dropping them off. I've shared my experience with the City, and they are aware of Uber's shortcomings...plan to address such with the company. Needless to say, Uber is struggling with the ""pool"" algorithms and has chosen to not work with its customers when inequities surface. Uber has lost a loyal customer!",1.0,0
"Do not lose anything in Uber otherwise your experience will be a nightmare getting them to recognize you. My friend had the ride set up however at the end of the trip I got dropped off leaving my wallet in the black leather seats, black wallet at night. Anyhow, my friend needed to provide verification about her account, no problem, except around 40 emails and 2 days later they didn't accept the email address from her account she provided at signing nor her phone number that she was calling from that she used for this ride. It was uselessness forwarding this info to them even as they weren't confirming her own or my accounts. It's mind boggling how the messages we were getting back were not recognizing the very content info we used for the ride. Not sure where their tech support is in terms of usability. I will not be letting them charge a $15 fee for a returned item to say the least! We are threatening police at this point. Apparently the driver has something it's Uber slowing down this whole process increasing the frustration.",1.0,0
My last 2 experiences with Uber have made me use taxis which turned out to be preferable to Uber. Two weeks ago called for an Uber and my driver did not speak or understand English so I immediately got out and was still charged on Tuesday. October 24th I requested an Uber to take me to midway airport. When I received notification that my driver had arrived--I called since I was already waiting outside. He informed me that he was in Lombard. And here I was at the place I am always picked up in Chicago. Guess I am on to Lyft.,1.0,0
